prime,target
ナカマ,アッカ
スウジ,キセツ
キカン,アツサ
クウキ,セキユ
ブンカ,ソクザ
ヒヨウ,ケイコ
ギモン,カセン
シセイ,コウイ
ブンヤ,ユビワ
フアン,デンパ
ヒガイ,ダイズ
ニチジ,シッポ
ハンイ,カケイ
カカク,ノウチ
ガゾウ,シタギ
ジシン,ネダン
シセツ,オナカ
イタミ,ウワギ
ワダイ,イノリ
ニンキ,デグチ
シセン,ホジョ
タカサ,ホドウ
ジコウ,ノゾミ
リエキ,ジゲン
オミセ,アイズ
トナリ,ホンキ
キホン,ズツウ
ジタイ,シツギ
ソシキ,キゲン
ゾウカ,シボウ
ゴハン,セイジ
カオリ,ニオイ
キョリ,シカイ
バナナ,リンゴ
オカゲ,シソン
チホウ,イチジ
ヤサイ,シマツ
ジユウ,ザッシ
コッカ,ヒロウ
ジテン,セキユ
フケン,エウジ
マヒル,ボべン
ムゲン,ウリツ
イガタ,カハヒ
カタミ,シアジ
コドモ,ヨウジ
セカイ,シャカイ
イチブ,クブン
ジジツ,シンジツ
キテイ,メイキ
